Start,Finish,Conflict,Combatants,Fatalities
1947,1948,Indo-Pakistani War of 1947, Pakistan –  India,"~3,000"
1950,Present (CF signed in 1953),Korean War, South Korea -  North Korea,2 419 010+
1962,1962,Sino-Indian War, PRC –  India,"~4,000"
1965,1965,Indo-Pakistani War of 1965, Pakistan –  India,"~6,800"
1966,1989,South African Border War, Angola –  South Africa,Unknown
1967,1967,Chola incident, India –  People's Republic of China,~5
1969,1969,Sino-Soviet border conflict, PRC –  Soviet Union,Unknown
1971,1971,Indo-Pakistani War of 1971, Pakistan –  India,"~4,000+"
1979,1990,Sino-Vietnamese conflicts 1979-1990, Vietnam –  China,Unclear
1980,1988,Iran–Iraq War, Iran –  Iraq,1-2 million
1981,1981,Paquisha War, Ecuador –  Peru,~10
1982,1982,1982 Ethiopian–Somali Border War, Ethiopia –  Somalia,Unknown
1984,1987,Siachen Conflict, Pakistan –  India,"~2,400."
1985,1985,Agacher Strip War, Burkina Faso –  Mali,179
1987,1987,1987 Sino-Indian skirmish, India –  People's Republic of China,Unknown
1987,1988,Thai–Laotian Border War, Thailand –  Laos,"~1,000"
1989,1991,Mauritania–Senegal Border War, Mauritania –  Senegal,Unknown
1995,1995,Cenepa War, Ecuador –  Peru,~450
1998,2000,Eritrean-Ethiopian War, Ethiopia –  Eritrea,"~70,000"
1999,1999,Kargil War, India –  Pakistan,"~4,500"
